Metros,N,L,rT,Cg,RelG,E[1/H],CCg,μN-1,E[D],λ,1/k,Mg,ID
Athens,9,9,0.206,0.11,0.999,0.54,0.09,0.031,0.25,0.14,0.38,0.08,0
Barcelona,29,42,0.456,0.03,0.999,0.37,0.17,0.006,0.1,0.06,0.26,0.26,1
Berlin,32,43,0.417,0.03,0.999,0.36,0.08,0.005,0.09,0.05,0.28,0.2,2
Boston,21,22,0.209,0.03,0.999,0.37,0.03,0.005,0.1,0.06,0.34,0.05,3
Brussels,9,9,0.206,0.11,0.999,0.55,0.09,0.034,0.25,0.14,0.38,0.08,4
Bucharest,11,12,0.287,0.1,0.999,0.52,0.06,0.036,0.22,0.12,0.35,0.12,5
Buenos Aires,12,13,0.273,0.09,0.999,0.52,0.07,0.03,0.2,0.12,0.28,0.11,6
Cairo,6,5,0.0,0.17,0.999,0.62,0.0,0.073,0.33,0.18,0.45,0.0,7
Chicago,25,30,0.346,0.05,0.999,0.37,0.07,0.004,0.1,0.05,0.3,0.13,8
Delhi,8,7,0.0,0.12,0.999,0.57,0.0,0.044,0.25,0.14,0.37,0.0,9
HongKong,17,18,0.229,0.04,0.999,0.4,0.04,0.006,0.13,0.07,0.37,0.07,10
Lisbon,11,11,0.181,0.09,0.999,0.52,0.0,0.04,0.2,0.11,0.34,0.06,11
London,83,121,0.455,0.01,0.999,0.24,0.1,0.001,0.04,0.02,0.27,0.24,12
Lyon,10,10,0.192,0.11,0.999,0.53,0.0,0.048,0.22,0.12,0.36,0.07,13
Madrid,48,79,0.5,0.03,0.999,0.32,0.13,0.003,0.07,0.04,0.25,0.35,14
Marseille,6,5,0.0,0.17,0.999,0.62,0.0,0.073,0.33,0.18,0.45,0.0,15
MexicoCity,35,52,0.465,0.03,0.999,0.36,0.1,0.007,0.09,0.05,0.27,0.28,16
Milan,14,15,0.251,0.06,0.999,0.45,0.07,0.013,0.16,0.1,0.33,0.09,17
Montreal,10,10,0.192,0.11,0.999,0.53,0.0,0.048,0.22,0.12,0.36,0.07,18
Moscow,41,62,0.471,0.03,0.999,0.35,0.09,0.005,0.08,0.04,0.25,0.29,19
NewYork,77,109,0.443,0.01,0.999,0.25,0.05,0.001,0.04,0.02,0.28,0.22,20
Osaka,36,51,0.443,0.03,0.999,0.34,0.08,0.004,0.08,0.04,0.28,0.24,21
Paris,78,125,0.488,0.01,0.999,0.27,0.13,0.001,0.04,0.02,0.24,0.32,22
Prague,9,9,0.206,0.12,0.999,0.57,0.06,0.061,0.25,0.15,0.33,0.08,23
Rome,5,4,0.0,0.25,0.999,0.7,0.0,0.2,0.4,0.22,0.4,0.0,24
Seoul,71,111,0.48,0.02,0.999,0.26,0.09,0.001,0.04,0.02,0.27,0.3,25
Shanghai,22,28,0.389,0.04,0.999,0.41,0.05,0.01,0.12,0.07,0.28,0.18,26
Singapore,12,13,0.273,0.08,0.999,0.49,0.06,0.02,0.2,0.11,0.35,0.11,27
StPetersburg,14,16,0.317,0.07,0.999,0.49,0.07,0.026,0.18,0.1,0.31,0.13,28
Stockholm,20,19,0.0,0.04,0.999,0.34,0.0,0.003,0.1,0.05,0.4,0.0,29
Tokyo,62,107,0.512,0.02,0.999,0.31,0.15,0.002,0.06,0.03,0.23,0.39,30
Toronto,10,9,0.0,0.07,0.999,0.47,0.0,0.018,0.2,0.1,0.45,0.0,31
WashingtonDC,17,18,0.229,0.04,0.999,0.41,0.04,0.01,0.13,0.07,0.35,0.07,32
